Название,Цена,Ссылка,Описание,Просмотров,Дата публикации,Продавец,Адрес
Трубы б/у из обечайки от 1420 до 2020 диаметра,78000,https://www.avito.ru/moskva/remont_i_stroitelstvo/truby_bu_iz_obechayki_ot_1420_do_2020_diametra_2723331482,"Предлагаем трубы из обечаек от 1420 до 2020 диаметра. Стенки от 10 до 16 мм включительно. Собственное производство. Сжатые сроки. Можем изготовить из восстановленного или нового листа. На новый лист дадим сертификат. Мы находимся по адресу — Московская область, село Константиновское, Ступинский район. Работаем без праздников и выходных. Звоните.",53,сегодня в 12:15,Частное лицо,Москва
Труба 630х7-10 - реновация,65000,https://www.avito.ru/taganrog/remont_i_stroitelstvo/truba_630h7-10_-_renovatsiya_2754022086,"Продам трубу диаметром 630 мм с толщиной стенки 7-10 мм сталь 3СП прямошовную из-под воды в количестве 75,683 т (580,59 метров). ГОСТ 10704, ГОСТ 10705. Труба прошла механическую очистку внутри и снаружи, остатков изоляции нет, есть фаска под углом 30˚ (полная реновация), есть поперечный монтажный шов, минимальное количество раковин. Пишите, звоните — мы договоримся! Продаём со склада в городе Стаханов, Лнр, но, по договоренности можем вывезти на наш склад в город Таганрог (Ростовская область). Оплата на расчетный счет ИП, без Ндс. Есть возможность продажи с Ндс от нашего юридического лица. Цена обсуждается дополнительно. С товаром следует весь комплект товарно-сопроводительных документов. Труба отпускается по теоретическому весу. Вес Харцызский. Фактическое взвешивание не принимается. Вес одного погонного метра 630х7-108,62кг; 630х8-123,94кг; 630х9-139,2кг; 630х10-154,42кг. Длина трубы 630х7: 11,18м. 1,214 т. Длины труб 630х8: 5,26; 5,94; 9,13; 10,37; 10,67; 10,72; 10,73; 10,82; 10,93; 11,05; 11,06; 11,11; 11,12; 11,12; 11,17; 11,18; 11,24; 11,26; 11,3; 11,3; 11,33; 11,36; 11,39; 11,41; 11,42; 11,42; 11,44; 11,44; 11,44; 11,44; 11,48; 11,49; 11,52; 11,53; 11,53; 11,72 = 402,28 м 49,857 тн (37шт). Длины труб 630х9: 10,78; 10,79; 11,29; 11,4; 11,44; 11,44; 11,45 = 78,59 м 10,940 тн (7 шт). Длины труб 630х10: 8,89; 11,24; 11,29; 11,29; 11,42; 11,43; 11,45; 11,53 = 88,54 м 13,672 тн (8 шт). Цена одной тонны трубы в этом лоте 65000 рублей/тонна вкруговую. Нам интересно продать всё в одни руки. По запросу вышлем видео трубы.",53,сегодня в 12:08,Частное лицо,"Ростовская область, Таганрог"
Трубы металлические бу,34999,https://www.avito.ru/novokuznetsk/remont_i_stroitelstvo/truby_metallicheskie_bu_2480174344,Трубы разных диаметров от 38 до 1420 закуп и др появилась 325*6 100 метров цены разные все зависит от закупа уточняйте чем труба крупнее тем подороже.,2555,сегодня в 12:25,Частное лицо,"Кемеровская область, Новокузнецкий г.о., Новокузнецк"
Труба 426 стенка 10 мм.от 10 метров.вода.поперечка,45,https://www.avito.ru/ulyanovsk/remont_i_stroitelstvo/truba_426_stenka_10_mm.ot_10_metrov.voda.poperechka_3505105475,Труба 426 стенка 10 мм от 10 ти метров всего 450 метров. Две машины. Цена наличка указана. Вес метра 102.5 кг.,0,сегодня в 12:36,Частное лицо,"Ульяновская область, Ульяновск"
Труба 530х8 бу дл. 760мм,6000,https://www.avito.ru/vyksa/remont_i_stroitelstvo/truba_530h8_bu_dl._760mm_3139256063,Труба 530*8 на печь.,431,сегодня в 12:35,Частное лицо,"Нижегородская область, Выкса"
Труба металлическая диаметр 530 б/у,30000,https://www.avito.ru/sochi/remont_i_stroitelstvo/truba_metallicheskaya_diametr_530_bu_3607944153,Продаю 2 трубы 6м. Длина 530мм. Диаметр толщина 8мм.,0,сегодня в 13:42,Частное лицо,"Краснодарский край, г.о. Сочи, с. Нижнее Учдере"
Труба 530*8-9 бу,56000,https://www.avito.ru/moskva/remont_i_stroitelstvo/truba_5308-9_bu_2425579467,"Труба бу 530*7-8 в наличии 300 штук по 11,3-11,5. Труба в Москве, демонтаж с котлована, состояние газ, без изоляции.",65,сегодня в 13:40,Частное лицо,Москва
Труба металлическая диаметр 530,9600,https://www.avito.ru/perm/remont_i_stroitelstvo/truba_metallicheskaya_diametr_530_3392682725,"Труба 530мм стенка, 10мм, длинна 1220мм, вес 160кг.",118,сегодня в 14:51,Частное лицо,"Пермский край, Пермь"
Труба металлическая диаметр 500 бу,4000,https://www.avito.ru/syktyvkar/remont_i_stroitelstvo/truba_metallicheskaya_diametr_500_bu_2664492390,"Продам трубу на печку, диаметром 530, длина 900 мм.",871,сегодня в 15:00,Частное лицо,"Республика Коми, Сыктывкар"
"Труба б/у 325х8, 325х9, 325х10",55500,https://www.avito.ru/moskva/remont_i_stroitelstvo/truba_bu_325h8_325h9_325h10_3417302961,"Труба 325 в наличие Московская область, Подольский район: 325х8 мехчищ. 325х9 механически чищенная. 325х10 есть в пленке, есть чистая. Фотографии Реальной Трубы! Можете приехать, смотреть, выбирать. Отгрузка с базы. Так же оказываем услуги: - доставка в москву, область, в регионы. - пескоструйная обработка, восстановление. - фаска орбита, механика.",1,сегодня в 15:11,Частное лицо,Москва
Трубы металлические бу 325х8,25,https://www.avito.ru/perm/remont_i_stroitelstvo/truby_metallicheskie_bu_325h8_3385125793,"Трубы резанные вдоль. Длина-3,9м. (3шт.), 3,35м. (3шт.) Самовывоз. По цене м/л.",34,сегодня в 16:00,Частное лицо,"Пермский край, Пермский муниципальный округ, пос. Ферма"
"Трубы б у новые, металл",0,https://www.avito.ru/kemerovo/remont_i_stroitelstvo/truby_b_u_novye_metall_1027154222,"Любые Трубы под различное использование. Диаметры 32,42,48,57,76,89,102,108,114,127,133,159,219,273,300,325,426,530, и другие Б у и новые. Режем в размер. Организуем доставку. Купим деловой металл Новый и бу.",8197,сегодня в 16:37,Частное лицо,"Кемеровская область, Кемеровский г.о., Кемерово"
Трубы бу,60,https://www.avito.ru/schelkovo/remont_i_stroitelstvo/truby_bu_2999867637,Трубы металлические б. У от 60р 1кг. 57х3.5мм 275р метр. 76х3.5мм 350р. 89х3.5мм 450р. 108х3.5 650р. 108х4 720р. 108х5 850р. 133х5 1000р. 159х5 1500р. 159х6 1700р. 219х6 2000р. 219х7 2300р. 219х8 2800р. 273х7 3300р. 273х8 3500р. 325х7 3800р. 325х8 4000р. 325х10 4500р. 377х7 5000р. 426х6 4800р. 426х7 5300р. 426х8 5800р. 530х7 6500р. 530х8 7000р. 530х9 7500р. 530х10 8000р. Трубы новые лежалые. 630х8 88р кг. 630х9 88р кг. 630х10 88р кг. 720х10 98р. 820х10 98р. 920х10 98р. 1020х12 100р. 1120х12 100р.,2440,сегодня в 17:53,Частное лицо,"Московская область, Щёлково"
Трубы бу,4200,https://www.avito.ru/kuznetsk/remont_i_stroitelstvo/truby_bu_3334672816,Продам трубу стальную б/у Диаметром 530 мм. Цена за 1 метр.,1926,сегодня в 18:03,Частное лицо,"Пензенская область, Кузнецк"
